GEO_ID,NAME,S2801_C01_001E,S2801_C01_001M,S2801_C02_001E,S2801_C02_001M,S2801_C01_002E,S2801_C01_002M,S2801_C02_002E,S2801_C02_002M,S2801_C01_003E,S2801_C01_003M,S2801_C02_003E,S2801_C02_003M,S2801_C01_004E,S2801_C01_004M,S2801_C02_004E,S2801_C02_004M,S2801_C01_005E,S2801_C01_005M,S2801_C02_005E,S2801_C02_005M,S2801_C01_006E,S2801_C01_006M,S2801_C02_006E,S2801_C02_006M,S2801_C01_007E,S2801_C01_007M,S2801_C02_007E,S2801_C02_007M,S2801_C01_008E,S2801_C01_008M,S2801_C02_008E,S2801_C02_008M,S2801_C01_009E,S2801_C01_009M,S2801_C02_009E,S2801_C02_009M,S2801_C01_010E,S2801_C01_010M,S2801_C02_010E,S2801_C02_010M,S2801_C01_011E,S2801_C01_011M,S2801_C02_011E,S2801_C02_011M,S2801_C01_012E,S2801_C01_012M,S2801_C02_012E,S2801_C02_012M,S2801_C01_013E,S2801_C01_013M,S2801_C02_013E,S2801_C02_013M,S2801_C01_014E,S2801_C01_014M,S2801_C02_014E
id,Geographic Area Name,Estimate!!Total!!Total households,Margin of Error!!Total MOE!!Total households,Estimate!!Percent!!Total households,Margin of Error!!Percent MOE!!Total households,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Desktop or laptop!!Desktop or laptop with no other type of computing device,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Smartphone!!Smartphone with no other type of computing device,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Tablet or other portable wireless computer!!Tablet or other portable wireless computer with no other type of computing device,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer,Estimate!!Total!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device,Estimate!!Percent!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!Has one or more types of computing devices!!Other computer!!Other computer with no other type of computing device,Estimate!!Total!!TYPES OF COMPUTER!!No computer,Margin of Error!!Total MOE!!TYPES OF COMPUTER!!No computer,Estimate!!Percent!!TYPES OF COMPUTER!!No computer,Margin of Error!!Percent MOE!!TYPES OF COMPUTER!!No computer,Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription,Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription,Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription,Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription,Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Margin of Error!!Percent MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Dial-up with no other type of Internet subscription,Estimate!!Total!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type,Margin of Error!!Total MOE!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type,Estimate!!Percent!!TYPE OF INTERNET SUBSCRIPTIONS!!With an Internet subscription!!Broadband of any type
0500000US54001,"Barbour County, West Virginia",6416,198,(X),(X),5161,258,80.4,3.2,4281,265,66.7,3.8,865,160,13.5,2.5,3837,247,59.8,3.2,572,176,8.9,2.7,2748,245,42.8,3.8,134,79,2.1,1.2,111,78,1.7,1.2,5,8,0.1,0.1,1255,207,19.6,3.2,4360,276,68,3.9,2,3,0,0.1,4358,277,67.9
0500000US54003,"Berkeley County, West Virginia",43237,521,(X),(X),38668,685,89.4,1.2,33553,782,77.6,1.7,4403,469,10.2,1.1,32397,865,74.9,1.7,2315,450,5.4,1,24853,884,57.5,2,246,100,0.6,0.2,1291,267,3,0.6,76,57,0.2,0.1,4569,505,10.6,1.2,35310,727,81.7,1.4,247,96,0.6,0.2,35063,739,81.1
0500000US54005,"Boone County, West Virginia",9148,249,(X),(X),7288,281,79.7,2.2,5919,305,64.7,2.9,1260,225,13.8,2.5,5207,353,56.9,3.2,385,126,4.2,1.4,4256,287,46.5,2.8,271,91,3,1,607,161,6.6,1.8,1,3,0,0.1,1860,208,20.3,2.2,6723,289,73.5,2.7,16,17,0.2,0.2,6707,289,73.3
0500000US54007,"Braxton County, West Virginia",5491,278,(X),(X),4069,293,74.1,3.8,3510,308,63.9,4.4,1107,224,20.2,3.9,2823,269,51.4,4.3,292,129,5.3,2.3,1746,241,31.8,4.1,22,20,0.4,0.4,54,39,1,0.7,11,13,0.2,0.2,1422,220,25.9,3.8,3617,275,65.9,3.9,83,87,1.5,1.6,3534,281,64.4
0500000US54009,"Brooke County, West Virginia",9957,198,(X),(X),8331,306,83.7,2.7,7123,322,71.5,3,1240,206,12.5,2,6515,328,65.4,3,461,135,4.6,1.4,5127,314,51.5,3,82,52,0.8,0.5,199,77,2,0.8,2,3,0,0.1,1626,270,16.3,2.7,7079,345,71.1,3.1,45,33,0.5,0.3,7034,341,70.6
0500000US54011,"Cabell County, West Virginia",39628,647,(X),(X),33237,687,83.9,1.1,26654,673,67.3,1.4,3391,307,8.6,0.8,28095,664,70.9,1.2,3389,435,8.6,1.1,19922,690,50.3,1.6,490,178,1.2,0.4,1762,213,4.4,0.5,41,41,0.1,0.1,6391,455,16.1,1.1,27825,752,70.2,1.6,258,88,0.7,0.2,27567,746,69.6
0500000US54013,"Calhoun County, West Virginia",2864,188,(X),(X),2187,187,76.4,4.9,1862,179,65,5.5,591,121,20.6,4,1439,182,50.2,6,159,85,5.6,2.9,1228,149,42.9,5.1,47,48,1.6,1.7,51,40,1.8,1.4,0,16,0,1,677,152,23.6,4.9,1920,187,67,4.7,91,53,3.2,1.8,1829,187,63.9
0500000US54015,"Clay County, West Virginia",3261,189,(X),(X),2348,200,72,4.2,1876,183,57.5,4.7,424,133,13,3.9,1731,176,53.1,4.6,263,103,8.1,3.1,1154,175,35.4,5,11,13,0.3,0.4,39,28,1.2,0.9,5,10,0.2,0.3,913,142,28,4.2,2206,174,67.6,4.2,0,16,0,0.9,2206,174,67.6
0500000US54017,"Doddridge County, West Virginia",2647,195,(X),(X),2081,206,78.6,4.6,1790,202,67.6,5.5,476,120,18,4.5,1461,209,55.2,6.1,140,74,5.3,2.8,1221,172,46.1,5.1,49,40,1.9,1.5,32,32,1.2,1.2,0,16,0,1.1,566,126,21.4,4.6,1738,204,65.7,5.3,24,31,0.9,1.2,1714,202,64.8
