GEO_ID,NAME,S2801_C02_014E
54001,"Barbour County, West Virginia",67.9
54003,"Berkeley County, West Virginia",81.1
54005,"Boone County, West Virginia",73.3
54007,"Braxton County, West Virginia",64.4
54009,"Brooke County, West Virginia",70.6
54011,"Cabell County, West Virginia",69.6
54013,"Calhoun County, West Virginia",63.9
54015,"Clay County, West Virginia",67.6
54017,"Doddridge County, West Virginia",64.8
54019,"Fayette County, West Virginia",71.3
54021,"Gilmer County, West Virginia",64.4
54023,"Grant County, West Virginia",68.4
54025,"Greenbrier County, West Virginia",70.3
54027,"Hampshire County, West Virginia",61.7
54029,"Hancock County, West Virginia",72.3
54031,"Hardy County, West Virginia",75.7
54033,"Harrison County, West Virginia",75.5
54035,"Jackson County, West Virginia",65.8
54037,"Jefferson County, West Virginia",82.7
54039,"Kanawha County, West Virginia",76
54041,"Lewis County, West Virginia",68.5
54043,"Lincoln County, West Virginia",70.5
54045,"Logan County, West Virginia",76.6
54047,"McDowell County, West Virginia",62.1
54049,"Marion County, West Virginia",78
54051,"Marshall County, West Virginia",70.5
54053,"Mason County, West Virginia",65.8
54055,"Mercer County, West Virginia",67.6
54057,"Mineral County, West Virginia",70.1
54059,"Mingo County, West Virginia",68.1
54061,"Monongalia County, West Virginia",83.4
54063,"Monroe County, West Virginia",64.5
54065,"Morgan County, West Virginia",75.1
54067,"Nicholas County, West Virginia",73.6
54069,"Ohio County, West Virginia",68.9
54071,"Pendleton County, West Virginia",59.2
54073,"Pleasants County, West Virginia",73.5
54075,"Pocahontas County, West Virginia",70.4
54077,"Preston County, West Virginia",75
54079,"Putnam County, West Virginia",74.2
54081,"Raleigh County, West Virginia",74.2
54083,"Randolph County, West Virginia",66.4
54085,"Ritchie County, West Virginia",67.7
54087,"Roane County, West Virginia",64.1
54089,"Summers County, West Virginia",58.8
54091,"Taylor County, West Virginia",75.5
54093,"Tucker County, West Virginia",73.7
54095,"Tyler County, West Virginia",68.6
54097,"Upshur County, West Virginia",70.1
54099,"Wayne County, West Virginia",61.6
54101,"Webster County, West Virginia",64.8
54103,"Wetzel County, West Virginia",68.8
54105,"Wirt County, West Virginia",67.3
54107,"Wood County, West Virginia",77.8
54109,"Wyoming County, West Virginia",69.1
