id,Geographic Area Name,Estimate!!Total,Estimate!!Total!!19 to 64 years,Estimate!!Total!!19 to 64 years!!With a disability,Estimate!!Total!!19 to 64 years!!With a disability!!With health insurance coverage,Estimate!!Total!!19 to 64 years!!With a disability!!With health insurance coverage!!With private health insurance coverage,Estimate!!Total!!19 to 64 years!!With a disability!!With health insurance coverage!!With public health coverage,Estimate!!Total!!19 to 64 years!!With a disability!!No health insurance coverage,Estimate!!Total!!19 to 64 years!!No disability
54033,"Harrison County, West Virginia",67583,40023,6713,6207,2545,4399,506,33310
54069,"Ohio County, West Virginia",41970,24790,3127,2905,1402,1991,222,21663
54013,"Calhoun County, West Virginia",7373,4172,916,869,355,603,47,3256
54065,"Morgan County, West Virginia",17498,10364,1322,1288,859,614,34,9042
54081,"Raleigh County, West Virginia",73901,42656,8692,7949,3296,5875,743,33964
54007,"Braxton County, West Virginia",13934,7892,1138,1134,267,958,4,6754
54001,"Barbour County, West Virginia",16568,9796,1485,1378,450,1114,107,8311
54047,"McDowell County, West Virginia",17696,9949,3116,2968,887,2484,148,6833
54099,"Wayne County, West Virginia",40561,23435,5362,4909,1670,3830,453,18073
54109,"Wyoming County, West Virginia",21629,12662,4374,4194,1617,3211,180,8288
54035,"Jackson County, West Virginia",28842,16676,2582,2406,1089,1644,176,14094
54055,"Mercer County, West Virginia",60043,34681,8322,7862,3008,6060,460,26359
54097,"Upshur County, West Virginia",24408,14327,1724,1573,559,1216,151,12603
54101,"Webster County, West Virginia",8463,4861,920,861,328,558,59,3941
54003,"Berkeley County, West Virginia",112989,69168,9135,8354,3898,5530,781,60033
54019,"Fayette County, West Virginia",43011,25103,6186,5796,2501,4116,390,18917
54023,"Grant County, West Virginia",11534,6539,996,970,366,726,26,5543
54027,"Hampshire County, West Virginia",22867,13357,3042,2837,1092,2086,205,10315
54089,"Summers County, West Virginia",12070,6922,2051,1954,568,1610,97,4871
54009,"Brooke County, West Virginia",22528,13002,1739,1674,1018,1006,65,11263
54017,"Doddridge County, West Virginia",7814,4551,870,810,247,598,60,3681
54057,"Mineral County, West Virginia",27052,15727,2610,2437,1234,1455,173,13117
54025,"Greenbrier County, West Virginia",34765,20034,3726,3573,1316,2739,153,16308
54031,"Hardy County, West Virginia",13785,7886,830,813,477,368,17,7056
54049,"Marion County, West Virginia",56118,33504,4597,4315,2022,2872,282,28907
54059,"Mingo County, West Virginia",24657,14657,4717,4544,1471,3710,173,9940
54029,"Hancock County, West Virginia",29434,17126,2405,2200,974,1447,205,14721
54041,"Lewis County, West Virginia",16089,9261,1871,1718,577,1320,153,7390
54067,"Nicholas County, West Virginia",25185,14668,2575,2360,896,1705,215,12093
54075,"Pocahontas County, West Virginia",8248,4688,936,894,333,733,42,3752
54095,"Tyler County, West Virginia",8833,5134,780,706,176,588,74,4354
54083,"Randolph County, West Virginia",27267,15771,2191,2077,813,1492,114,13580
54091,"Taylor County, West Virginia",16517,9662,1501,1444,634,1002,57,8161
54105,"Wirt County, West Virginia",5797,3338,700,679,217,541,21,2638
54015,"Clay County, West Virginia",8739,4950,1565,1501,526,1166,64,3385
54021,"Gilmer County, West Virginia",6912,4200,637,604,254,410,33,3563
54061,"Monongalia County, West Virginia",103692,71635,7431,7003,4015,3872,428,64204
54063,"Monroe County, West Virginia",13369,7420,1594,1486,641,1092,108,5826
54103,"Wetzel County, West Virginia",15514,8746,1573,1511,597,1139,62,7173
54011,"Cabell County, West Virginia",93830,57008,9609,8895,2997,6931,714,47399
54039,"Kanawha County, West Virginia",183858,109011,17013,15798,6707,11238,1215,91998
54071,"Pendleton County, West Virginia",6883,3841,492,488,182,358,4,3349
54077,"Preston County, West Virginia",31037,18111,3021,2707,1225,1695,314,15090
54085,"Ritchie County, West Virginia",9876,5676,795,753,242,599,42,4881
54043,"Lincoln County, West Virginia",21018,12428,3093,2885,980,2266,208,9335
54079,"Putnam County, West Virginia",56268,33342,3310,3055,1386,1970,255,30032
54005,"Boone County, West Virginia",22697,13386,3757,3527,1293,2763,230,9629
54051,"Marshall County, West Virginia",31268,18281,3046,2698,1286,1868,348,15235
54093,"Tucker County, West Virginia",6849,4042,777,718,319,483,59,3265
54073,"Pleasants County, West Virginia",6950,4263,625,575,307,342,50,3638
54087,"Roane County, West Virginia",14110,7981,2129,2000,465,1720,129,5852
54107,"Wood County, West Virginia",85026,49686,8290,7799,3025,5878,491,41396
54053,"Mason County, West Virginia",26251,15221,2679,2461,1147,1702,218,12542
54037,"Jefferson County, West Virginia",55825,34154,4105,3680,2254,1979,425,30049
54045,"Logan County, West Virginia",33269,19783,5239,5041,1917,3881,198,14544
