CBSA,CBSA Code,Year,Days with AQI,Good Days,Moderate Days,Unhealthy for Sensitive Groups Days,Unhealthy Days,Very Unhealthy Days,Hazardous Days,Max AQI,90th Percentile AQI,Median AQI,Days CO,Days NO2,Days Ozone,Days SO2,Days PM2.5,Days PM10
"Albany, OR",10540,2019,365,280,83,2,0,0,0,104,62,28,0,0,0,0,365,0
"Bend-Redmond, OR",13460,2019,365,341,19,4,1,0,0,153,43,20,0,0,0,0,365,0
"Coos Bay, OR",18300,2019,107,106,1,0,0,0,0,58,35,19,0,0,0,0,107,0
"Corvallis, OR",18700,2019,365,332,33,0,0,0,0,85,49,17,0,0,0,0,365,0
"Eugene, OR",21660,2019,365,254,103,8,0,0,0,117,75,38,0,0,109,0,246,10
"Grants Pass, OR",24420,2019,365,283,77,3,2,0,0,169,64,26,0,0,0,0,365,0
"Hermiston-Pendleton, OR",25840,2019,365,296,68,1,0,0,0,104,58,37,0,0,150,0,215,0
"Klamath Falls, OR",28900,2019,365,261,98,6,0,0,0,126,75,29,0,0,0,0,361,4
"La Grande, OR",29260,2019,365,344,21,0,0,0,0,86,43,20,0,0,0,0,362,3
"Medford, OR",32780,2019,365,295,63,3,4,0,0,180,61,36,0,0,141,0,224,0
"Prineville, OR",39260,2019,365,296,68,1,0,0,0,103,59,23,0,0,0,0,365,0
"Roseburg, OR",40700,2019,347,288,59,0,0,0,0,80,59,24,0,0,0,0,347,0
"Salem, OR",41420,2019,356,302,54,0,0,0,0,92,59,32,0,0,138,0,218,0
"The Dalles, OR",45520,2019,350,298,52,0,0,0,0,88,57,23,0,0,0,0,350,0
